State,Year,Value,Unemployment Rate
Minnesota,2020,14.189655172413794,6.266666666666667
Minnesota,2021,14.957471264367815,3.783333333333333
Mississippi,2018,17.5,4.958333333333333
Mississippi,2019,18.204878048780486,5.5249999999999995
Mississippi,2020,15.669512195121952,8.049999999999999
Mississippi,2021,17.56341463414634,5.5
Missouri,2018,16.527826086956523,3.2416666666666667
Missouri,2019,17.34521739130435,3.2083333333333335
Missouri,2020,16.924347826086954,6.191666666666666
Missouri,2021,18.593043478260867,4.083333333333333
Montana,2018,14.346428571428572,3.75
Montana,2019,15.582142857142857,3.5
Montana,2020,14.328571428571427,5.841666666666666
Montana,2021,16.576785714285712,3.3833333333333333
Nebraska,2018,12.053763440860216,2.9250000000000003
Nebraska,2019,12.61720430107527,3.125
Nebraska,2020,12.361290322580643,4.308333333333334
Nebraska,2021,13.698924731182796,2.6916666666666664
Nevada,2018,14.86470588235294,4.383333333333334
Nevada,2019,15.064705882352943,4.108333333333333
Nevada,2020,16.676470588235293,13.700000000000001
Nevada,2021,18.294117647058822,6.941666666666666
New Hampshire,2018,13.8,2.625
New Hampshire,2019,14.709999999999999,2.566666666666667
New Hampshire,2020,15.24,6.716666666666666
New Hampshire,2021,15.569999999999999,3.4
New Jersey,2018,13.104761904761904,4.008333333333334
New Jersey,2020,13.857142857142858,9.450000000000001
New Jersey,2021,14.661904761904761,6.608333333333333
New Mexico,2018,14.975757575757575,4.925
New Mexico,2019,15.515151515151516,4.958333333333333
New Mexico,2020,14.654545454545456,7.925
New Mexico,2021,16.71818181818182,7.058333333333334
New York,2018,13.827419354838709,4.1000000000000005
New York,2019,14.72741935483871,3.85
New York,2020,14.735483870967743,9.85
New York,2021,15.824193548387097,7.016666666666667
North Carolina,2018,15.398,3.9916666666666667
North Carolina,2019,15.739,3.8666666666666667
North Carolina,2020,15.232999999999999,7.2749999999999995
North Carolina,2021,16.72,4.875
North Dakota,2018,12.364150943396226,2.408333333333333
North Dakota,2019,12.184905660377357,2.1666666666666665
North Dakota,2020,13.1,4.991666666666666
North Dakota,2021,14.045283018867924,3.0666666666666664
Ohio,2018,16.263636363636365,4.5
Ohio,2019,17.7625,4.183333333333334
Ohio,2020,17.355681818181818,8.291666666666666
Ohio,2021,17.754545454545454,5.133333333333334
Oklahoma,2018,16.93246753246753,3.2916666666666665
Oklahoma,2019,17.009090909090908,3.1333333333333333
Oklahoma,2020,17.584415584415584,6.316666666666666
Oklahoma,2021,18.842857142857145,4.016666666666667
Oregon,2018,15.766666666666667,4.041666666666667
Oregon,2019,15.891666666666667,3.725
Oregon,2020,15.883333333333333,7.616666666666667
Oregon,2021,18.208333333333332,5.208333333333333
Pennsylvania,2018,15.744776119402987,4.416666666666667
Pennsylvania,2019,15.941791044776117,4.325
Pennsylvania,2020,16.26865671641791,8.916666666666666
Pennsylvania,2021,16.811940298507466,6.033333333333334
Rhode Island,2018,13.180000000000001,4.033333333333333
Rhode Island,2019,14.98,3.5500000000000003
Rhode Island,2020,14.24,9.208333333333334
Rhode Island,2021,14.959999999999999,5.508333333333333
South Carolina,2018,16.05217391304348,3.375
South Carolina,2019,16.002173913043478,2.783333333333333
South Carolina,2020,16.045652173913044,5.983333333333333
South Carolina,2021,18.33695652173913,3.983333333333333
South Dakota,2018,11.906060606060606,2.7916666666666665
South Dakota,2019,12.824242424242424,2.783333333333333
